City,total_providers,bcbsmi_providers,providers_with_payments,payment_penetration_pct,total_payments,avg_payment,total_transactions,total_rx_cost,total_rx_count,hospital_count,area_type
Whitmore Lake,12,7,6,50.0,3805.77,634.300000000,121,101074.182350000,451.000000000,3,Rural
Lexington,10,5,4,40.0,3435.53,858.880000000,200,2626132.049150000,3345.000000000,3,Rural
Rogers City,20,14,11,55.0,3029.19,275.380000000,109,4785131.204240000,6120.000000000,3,Rural
Swartz Creek,14,9,8,57.14,2783.19,347.900000000,133,2688837.347760000,3019.000000000,4,Rural
Mio,11,7,6,54.55,2783.16,463.860000000,166,4481432.138620000,5133.000000000,3,Rural
Stevensville,13,10,6,46.15,2026.9,337.820000000,58,698545.900940000,2067.000000000,3,Rural
Grant,20,12,11,55.0,1693.12,153.920000000,39,11235398.005690000,13602.000000000,3,Rural
Mc Bain,12,11,10,83.33,1569.59,156.960000000,69,6527992.738840000,9351.000000000,3,Rural
Dewitt,17,3,3,17.65,1483.47,494.490000000,49,563739.855100000,793.000000000,7,Rural
Onaway,16,11,11,68.75,1049.72,95.430000000,37,6865241.273900000,7649.000000000,2,Rural
White Cloud,34,10,6,17.65,1036.87,172.810000000,32,5897157.390590000,7777.000000000,4,Rural
Negaunee,10,9,10,100.0,997.96,99.800000000,40,3794228.306650000,6881.000000000,1,Rural
Middleville,21,9,8,38.1,900.54,112.570000000,30,2673431.495880000,4107.000000000,3,Rural
Fruitport,12,2,1,8.33,863.4,863.400000000,21,890958.006200000,1028.000000000,5,Rural
Montrose,13,11,5,38.46,833.46,166.690000000,28,683758.502670000,2355.000000000,2,Rural
Atlanta,18,11,11,61.11,802.1,72.920000000,34,5260838.796360000,5803.000000000,1,Rural
Menominee,14,12,4,28.57,472.75,118.190000000,14,2228659.793530000,2792.000000000,5,Rural
Daggett,14,10,3,21.43,237.85,79.280000000,8,3830885.574900000,4631.000000000,1,Rural
Clinton Twp,561,0,0,0.0,0.0,,0,0E-9,0E-9,1,Rural
